"NOME_CONGLOMERADO","CLASSE_","CNPJ","NOME_INSTITUIÇÃO_PARTICIPANTE","TIPO_PARTICIPAÇÃO_","DATA_INÍCIO","ESTADO","ano","mes","tipo"
"BRADESCO                                                    ","Privado Nacional                                            ","62375134.000000","BRAM - BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS                                                                                                                    ","PARTICIPANTE                                                ","36861.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","5676026.000000","CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                                                                                                                                                   ","PARTICIPANTE                                                ","39283.000000","RS","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","74533787.000000","EVEREST LEASING S.A. ARRENDAMENTO MERCANTIL                                                                                                                                                             ","PARTICIPANTE                                                ","38029.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","62042890.000000","TIBRE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                                                                                                                                              ","PARTICIPANTE                                                ","38029.000000","SP","2011","07","conglomerados"
"BRADESCO                                                    ","Privado Nacional                                            ","61529343.000000","CIDADE DE DEUS COMPANHIA COMERCIAL DE PARTICIPACOES                                                                                                                                                     ","HOLDING NÃO IF                                              ","32295.000000","SP","2011","07","conglomerados"
"BRASCAN                                                     ","Privado Nacional com Controle Estrangeiro                   ","33923111.000000","BANCO BRASCAN S.A.                                                                                                                                                                                      ","LIDER/HOLDING                                               ","34669.000000","RJ","2011","07","conglomerados"
"BRASCAN                                                     ","Privado Nacional com Controle Estrangeiro                   ","3409228.000000","BRASCAN CIA. HIPOTECARIA                                                                                                                                                                                ","PARTICIPANTE                                                ","36982.000000","SP","2011","07","conglomerados"
"BRASCAN                                                     ","Privado Nacional com Controle Estrangeiro                   ","60889144.000000","BRASCAN S.A.CORRETORA DE TITULOS E VALORES                                                                                                                                                              ","PARTICIPANTE                                                ","34669.000000","RJ","2011","07","conglomerados"
"BRB                                                         ","Público Estadual                                            ","208.000000","BRB - BANCO DE BRASILIA S.A.                                                                                                                                                                            ","LIDER/HOLDING                                               ","32295.000000","DF","2011","07","conglomerados"
"BRB                                                         ","Público Estadual                                            ","33136888.000000","BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A                                                                                                                                                         ","PARTICIPANTE                                                ","32295.000000","DF","2011","07","conglomerados"
"BRB                                                         ","Público Estadual                                            ","33850686.000000","BRB - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA                                                                                                                                                 ","PARTICIPANTE                                                ","32295.000000","DF","2011","07","conglomerados"
"BTG PACTUAL                                                 ","Privado Nacional com Participação Estrangeira               ","30306294.000000","BANCO BTG PACTUAL S.A.                                                                                                                                                                                  ","LIDER/HOLDING                                               ","32295.000000","RJ","2011","07","conglomerados"
"BTG PACTUAL                                                 ","Privado Nacional com Participação Estrangeira               ","29650082.000000","BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS                                                                                                                        ","PARTICIPANTE                                                ","32295.000000","RJ","2011","07","conglomerados"
"BTG PACTUAL                                                 ","Privado Nacional com Participação Estrangeira               ","43815158.000000","BTG PACTUAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                                             ","PARTICIPANTE                                                ","36008.000000","SP","2011","07","conglomerados"
"BTG PACTUAL                                                 ","Privado Nacional com Participação Estrangeira               ","59281253.000000","BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS                                                                                                                    ","PARTICIPANTE                                                ","36008.000000","RJ","2011","07","conglomerados"
"CAIXA ECONÔMICA FEDERAL                                     ","Público Federal                                             ","360305.000000","CAIXA ECONOMICA FEDERAL                                                                                                                                                                                 ","LIDER                                                       ","37565.000000","DF","2011","07","conglomerados"
"CAIXA ECONÔMICA FEDERAL                                     ","Público Federal                                             ","5349595.000000","CAIXA CONSÓRCIOS S.A ADMINISTRADORA DE CONSÓRCIOS                                                                                                                                                       ","PARTICIPANTE                                                ","37565.000000","DF","2011","07","conglomerados"
"CATERPILLAR                                                 ","Privado Nacional com Controle Estrangeiro                   ","2507173.000000","CATERPILLAR FINANCIAL S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO                                                                                                                                        ","LIDER/HOLDING                                               ","35855.000000","SP","2011","07","conglomerados"
"CATERPILLAR                                                 ","Privado Nacional com Controle Estrangeiro                   ","2658435.000000","BANCO CATERPILLAR S.A.                                                                                                                                                                                  ","PARTICIPANTE                                                ","35855.000000","SP","2011","07","conglomerados"
"CITIBANK                                                    ","Estrangeiro                                                 ","33479023.000000","BANCO CITIBANK S.A.                                                                                                                                                                                     ","LIDER/HOLDING                                               ","38534.000000","SP","2011","07","conglomerados"
"CITIBANK                                                    ","Estrangeiro                                                 ","34098442.000000","BANCO CITICARD S.A.                                                                                                                                                                                     ","PARTICIPANTE                                                ","38292.000000","SP","2011","07","conglomerados"
"CITIBANK                                                    ","Estrangeiro                                                 ","2856076.000000","CITIBANK COMPANHIA HIPOTECÁRIA                                                                                                                                                                          ","PARTICIPANTE                                                ","35916.000000","SP","2011","07","conglomerados"
"CITIBANK                                                    ","Estrangeiro                                                 ","33868597.000000","CITIBANK DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A                                                                                                                                             ","PARTICIPANTE                                                ","32295.000000","SP","2011","07","conglomerados"
"CITIBANK                                                    ","Estrangeiro                                                 ","34112128.000000","CITIBANK LEASING S.A. - ARRENDAMENTO MERCANTIL                                                                                                                                                          ","PARTICIPANTE                                                ","32295.000000","SP","2011","07","conglomerados"
"CITIBANK                                                    ","Estrangeiro                                                 ","33042953.000000","CITIBANK N.A.                                                                                                                                                                                           ","PARTICIPANTE                                                ","38534.000000","SP","2011","07","conglomerados"
"CITIBANK                                                    ","Estrangeiro                                                 ","33709114.000000","CITIGROUP GLOBAL MARKETS BRASIL, CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                ","PARTICIPANTE                                                ","32295.000000","SP","2011","07","conglomerados"
"CM CAPITAL MARKETS                                          ","Privado Nacional com Controle Estrangeiro                   ","2685483.000000","CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA                                                                                                                              ","LIDER/HOLDING                                               ","35977.000000","SP","2011","07","conglomerados"
"CM CAPITAL MARKETS                                          ","Privado Nacional com Controle Estrangeiro                   ","2671743.000000","CM CAPITAL MARKETS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA                                                                                                                                  ","PARTICIPANTE                                                ","35977.000000","SP","2011","07","conglomerados"
"COINVALORES                                                 ","Privado Nacional                                            ","336036.000000","COINVALORES CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS LTDA.                                                                                                                                             ","LIDER/HOLDING                                               ","39070.000000","SP","2011","07","conglomerados"
"COINVALORES                                                 ","Privado Nacional                                            ","61384004.000000","COIN-DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA                                                                                                                                                ","PARTICIPANTE                                                ","39070.000000","SP","2011","07","conglomerados"
"CONFIDENCE                                                  ","Privado Nacional                                            ","11703662.000000","BANCO CONFIDENCE DE CÂMBIO S.A.                                                                                                                                                                         ","LIDER                                                       ","40204.000000","SP","2011","07","conglomerados"
"CONFIDENCE                                                  ","Privado Nacional                                            ","4913129.000000","CONFIDENCE CORRETORA DE CÂMBIO S.A.                                                                                                                                                                     ","PARTICIPANTE                                                ","40204.000000","SP","2011","07","conglomerados"
"CREDIBEL                                                    ","Privado Nacional                                            ","69141539.000000","CREDIBEL PARTICIPAÇÕES S.A.                                                                                                                                                                             ","LIDER/HOLDING                                               ","35521.000000","SP","2011","07","conglomerados"
"CREDIBEL                                                    ","Privado Nacional                                            ","1963219.000000","CREDIBEL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.                                                                                                                                           ","PARTICIPANTE                                                ","35521.000000","SP","2011","07","conglomerados"
"CREDIT AGRICOLE                                             ","Privado Nacional com Controle Estrangeiro                   ","75647891.000000","BANCO CRÉDIT AGRICOLE BRASIL S.A.                                                                                                                                                                       ","LIDER/HOLDING                                               ","35132.000000","SP","2011","07","conglomerados"
"CREDIT AGRICOLE                                             ","Privado Nacional com Controle Estrangeiro                   ","1638542.000000","CREDIT AGRICOLE BRASIL S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS                                                                                                                              ","PARTICIPANTE                                                ","37196.000000","SP","2011","07","conglomerados"
"CREDIT AGRICOLE                                             ","Privado Nacional com Controle Estrangeiro                   ","55230916.000000","INDOSUEZ W. I. CARR SECURITIES -BRAZIL- DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                             ","PARTICIPANTE                                                ","38108.000000","SP","2011","07","conglomerados"
"CREDIT SUISSE                                               ","Privado Nacional com Controle Estrangeiro                   ","33987793.000000","BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.                                                                                                                                                      ","LIDER/HOLDING                                               ","40417.000000","SP","2011","07","conglomerados"
"CREDIT SUISSE                                               ","Privado Nacional com Controle Estrangeiro                   ","32062580.000000","BANCO CREDIT SUISSE (BRASIL) S.A.                                                                                                                                                                       ","PARTICIPANTE                                                ","40417.000000","SP","2011","07","conglomerados"
"CREDIT SUISSE                                               ","Privado Nacional com Controle Estrangeiro                   ","30121792.000000","CREDIT SUISSE (BRASIL) DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                              ","PARTICIPANTE                                                ","32295.000000","SP","2011","07","conglomerados"
"CREDIT SUISSE                                               ","Privado Nacional com Controle Estrangeiro                   ","42584318.000000","CREDIT SUISSE (BRASIL) S.A. CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS                                                                                                                                  ","PARTICIPANTE                                                ","32295.000000","SP","2011","07","conglomerados"
"CREDIT SUISSE                                               ","Privado Nacional com Controle Estrangeiro                   ","61809182.000000","CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A                                                                                                                                                   ","PARTICIPANTE                                                ","39387.000000","SP","2011","07","conglomerados"
"CRUZEIRO DO SUL                                             ","Privado Nacional                                            ","62136254.000000","BANCO CRUZEIRO DO SUL S.A.                                                                                                                                                                              ","LIDER/HOLDING                                               ","34341.000000","SP","2011","07","conglomerados"
"CRUZEIRO DO SUL                                             ","Privado Nacional                                            ","4169504.000000","CRUZEIRO DO SUL S.A. CORRETORA DE VALORES E MERCADORIAS                                                                                                                                                 ","PARTICIPANTE                                                ","34243.000000","RJ","2011","07","conglomerados"
"CRUZEIRO DO SUL                                             ","Privado Nacional                                            ","62382908.000000","CRUZEIRO DO SUL S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS                                                                                                                                     ","PARTICIPANTE                                                ","37622.000000","RJ","2011","07","conglomerados"
"DADALTO                                                     ","Privado Nacional                                            ","27406222.000000","DACASA FINANCEIRA S.A.-SOC. DE CRED. FINANC. E INVESTIMENTO                                                                                                                                             ","LIDER                                                       ","32295.000000","ES","2011","07","conglomerados"
"DADALTO                                                     ","Privado Nacional                                            ","92775964.000000","DADALTO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA                                                                                                                                             ","PARTICIPANTE                                                ","32295.000000","ES","2011","07","conglomerados"
"DADALTO                                                     ","Privado Nacional                                            ","27334937.000000","DADALTO ADMINISTRACAO E PARTICIPACOES LTDA                                                                                                                                                              ","HOLDING NÃO IF                                              ","32295.000000","ES","2011","07","conglomerados"
"DEUTSCHE                                                    ","Privado Nacional com Controle Estrangeiro                   ","62331228.000000","DEUTSCHE BANK S.A. - BANCO ALEMAO                                                                                                                                                                       ","LIDER/HOLDING                                               ","35674.000000","SP","2011","07","conglomerados"
"DEUTSCHE                                                    ","Privado Nacional com Controle Estrangeiro                   ","2184143.000000","DEUTSCHE BANK - CORRETORA DE VALORES S.A.                                                                                                                                                               ","PARTICIPANTE                                                ","35674.000000","SP","2011","07","conglomerados"
"DIDIER LEVY                                                 ","Privado Nacional com Participação Estrangeira               ","13059145.000000","DIDIER LEVY BANCO DE CÂMBIO S.A.                                                                                                                                                                        ","LIDER                                                       ","40527.000000","SP","2011","07","conglomerados"
"DIDIER LEVY                                                 ","Privado Nacional com Participação Estrangeira               ","52937216.000000","DIDIER-LEVY ASSOCIADOS CORRETORA DE CÂMBIO S/A                                                                                                                                                          ","PARTICIPANTE                                                ","40527.000000","SP","2011","07","conglomerados"
